C:\Users\1027k>atlas metrics processes  testcluster-shard-00-02.hhn0w.mongodb.net:27017   --start 2024-01-19T00:00:00Z  --end 2024-01-19T02:00:00Z --granularity PT5M
GLOBAL_LOCK_CURRENT_QUEUE_WRITERS              SCALAR               2024-01-19 01:14:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_WRITERS              SCALAR               2024-01-19 01:19:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_WRITERS              SCALAR               2024-01-19 01:24:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_WRITERS              SCALAR               2024-01-19 01:29:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_WRITERS              SCALAR               2024-01-19 01:34:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_WRITERS              SCALAR               2024-01-19 01:39:12 +0000 UTC         0
MEMORY_RESIDENT                                MEGABYTES            2024-01-19 01:14:12 +0000 UTC         216
MEMORY_RESIDENT                                MEGABYTES            2024-01-19 01:19:12 +0000 UTC         220
MEMORY_RESIDENT                                MEGABYTES            2024-01-19 01:24:12 +0000 UTC         222
MEMORY_RESIDENT                                MEGABYTES            2024-01-19 01:29:12 +0000 UTC         222.2
MEMORY_RESIDENT                                MEGABYTES            2024-01-19 01:34:12 +0000 UTC         223
MEMORY_RESIDENT                                MEGABYTES            2024-01-19 01:39:12 +0000 UTC         223.2
MEMORY_VIRTUAL                                 MEGABYTES            2024-01-19 01:14:12 +0000 UTC         3198.5
MEMORY_VIRTUAL                                 MEGABYTES            2024-01-19 01:19:12 +0000 UTC         3169.2
MEMORY_VIRTUAL                                 MEGABYTES            2024-01-19 01:24:12 +0000 UTC         3172
MEMORY_VIRTUAL                                 MEGABYTES            2024-01-19 01:29:12 +0000 UTC         3172
MEMORY_VIRTUAL                                 MEGABYTES            2024-01-19 01:34:12 +0000 UTC         3172
MEMORY_VIRTUAL                                 MEGABYTES            2024-01-19 01:39:12 +0000 UTC         3172
MEMORY_MAPPED                                  MEGABYTES            2024-01-19 01:14:12 +0000 UTC         N/A
MEMORY_MAPPED                                  MEGABYTES            2024-01-19 01:19:12 +0000 UTC         N/A
MEMORY_MAPPED                                  MEGABYTES            2024-01-19 01:24:12 +0000 UTC         N/A
MEMORY_MAPPED                                  MEGABYTES            2024-01-19 01:29:12 +0000 UTC         N/A
MEMORY_MAPPED                                  MEGABYTES            2024-01-19 01:34:12 +0000 UTC         N/A
MEMORY_MAPPED                                  MEGABYTES            2024-01-19 01:39:12 +0000 UTC         N/A
NETWORK_BYTES_IN                               BYTES_PER_SECOND     2024-01-19 01:14:12 +0000 UTC         4428.2046
NETWORK_BYTES_IN                               BYTES_PER_SECOND     2024-01-19 01:19:12 +0000 UTC         3950.3647
NETWORK_BYTES_IN                               BYTES_PER_SECOND     2024-01-19 01:24:12 +0000 UTC         3820.819
NETWORK_BYTES_IN                               BYTES_PER_SECOND     2024-01-19 01:29:12 +0000 UTC         3952.1848
NETWORK_BYTES_IN                               BYTES_PER_SECOND     2024-01-19 01:34:12 +0000 UTC         3937.8982
